NAME,Total Population,state,congressional district,state_fips,state_abbrev,pct_hispanic_or_latino,pct_asian,pct_american_indian_and_alaska_native,pct_black_or_african_american,pct_white,pct_native_hawaiian_and_other_pacific_islander,pct_some_other_race,pct_two_or_more_races,pct_below_poverty
"Congressional District 10 (116th Congress), Florida",823865.0,Florida,10,12,FL,28.37,5.08,0.12,26.93,35.94,0.06,1.06,2.45,15.03
"Congressional District 4 (116th Congress), Florida",800945.0,Florida,04,12,FL,8.51,4.47,0.25,9.16,74.39,0.04,0.4,2.77,8.67
"Congressional District 13 (116th Congress), Florida",729991.0,Florida,13,12,FL,10.24,3.5,0.22,12.07,71.1,0.09,0.3,2.48,13.28
"Congressional District 26 (116th Congress), Florida",768910.0,Florida,26,12,FL,70.93,1.72,0.08,10.19,16.01,0.02,0.3,0.74,15.23
"Congressional District 22 (116th Congress), Florida",755091.0,Florida,22,12,FL,22.44,3.16,0.12,14.65,57.16,0.03,0.61,1.81,11.15
"Congressional District 9 (116th Congress), Florida",869762.0,Florida,09,12,FL,41.61,2.92,0.2,12.11,40.86,0.06,0.43,1.81,14.8
"Congressional District 19 (116th Congress), Florida",813477.0,Florida,19,12,FL,20.39,1.7,0.14,7.6,68.8,0.03,0.26,1.08,11.87
"Congressional District 1 (116th Congress), Florida",771279.0,Florida,01,12,FL,6.59,2.48,0.36,13.15,73.06,0.11,0.2,4.04,12.21
"Congressional District 7 (116th Congress), Florida",768317.0,Florida,07,12,FL,25.67,4.59,0.15,9.85,57.0,0.04,0.52,2.19,13.04
"Congressional District 27 (116th Congress), Florida",747186.0,Florida,27,12,FL,72.44,1.89,0.04,3.79,20.73,0.02,0.3,0.8,14.4
"Congressional District 3 (116th Congress), Georgia",735074.0,Georgia,03,13,GA,5.74,2.03,0.23,24.66,64.88,0.06,0.37,2.03,13.34
"Congressional District 10 (116th Congress), Georgia",750524.0,Georgia,10,13,GA,5.76,2.05,0.09,25.43,64.52,0.05,0.2,1.9,15.73
"Congressional District 4 (116th Congress), Georgia",755681.0,Georgia,04,13,GA,9.58,5.02,0.21,59.89,22.74,0.08,0.37,2.11,15.27
"Congressional District 5 (116th Congress), Georgia",771987.0,Georgia,05,13,GA,6.48,4.3,0.16,57.36,29.01,0.04,0.47,2.18,20.06
"Congressional District 13 (116th Congress), Georgia",759765.0,Georgia,13,13,GA,11.42,2.65,0.08,58.88,24.55,0.02,0.25,2.14,13.38
"Congressional District 7 (116th Congress), Georgia",811492.0,Georgia,07,13,GA,19.52,14.27,0.14,19.85,43.49,0.02,0.44,2.28,9.31
"Congressional District 2 (116th Congress), Georgia",670498.0,Georgia,02,13,GA,5.26,1.13,0.21,51.58,39.9,0.08,0.15,1.68,25.45
"Congressional District 14 (116th Congress), Georgia",717132.0,Georgia,14,13,GA,11.71,0.94,0.21,8.77,76.05,0.02,0.19,2.11,14.24
"Congressional District 11 (116th Congress), Georgia",765954.0,Georgia,11,13,GA,11.13,3.37,0.11,16.45,66.43,0.04,0.41,2.06,9.38
"Congressional District 12 (116th Congress), Georgia",724066.0,Georgia,12,13,GA,6.26,1.63,0.18,34.55,54.9,0.09,0.4,2.0,20.22
"Congressional District 1 (116th Congress), Idaho",888809.0,Idaho,01,16,ID,11.08,1.23,1.21,0.58,83.38,0.16,0.08,2.28,12.08
"Congressional District 1 (116th Congress), Hawaii",710794.0,Hawaii,01,15,HI,8.73,48.93,0.08,2.05,15.59,7.24,0.11,17.26,7.87
"Congressional District 2 (116th Congress), Hawaii",711300.0,Hawaii,02,15,HI,12.24,24.86,0.23,1.38,28.38,11.48,0.19,21.24,11.01
"Congressional District 18 (116th Congress), Illinois",705247.0,Illinois,18,17,IL,2.89,2.75,0.18,3.8,88.54,0.01,0.1,1.74,9.59
"Congressional District 2 (116th Congress), Illinois",698741.0,Illinois,02,17,IL,14.28,0.75,0.09,56.76,26.46,0.0,0.2,1.45,18.64
"Congressional District 14 (116th Congress), Illinois",734105.0,Illinois,14,17,IL,12.25,4.51,0.05,3.13,78.21,0.02,0.13,1.69,5.46
"Congressional District 16 (116th Congress), Illinois",694781.0,Illinois,16,17,IL,10.06,1.54,0.15,3.81,82.56,0.01,0.11,1.76,11.72
"Congressional Districts not defined (116th Congress), Illinois",,Illinois,ZZ,17,IL,,,,,,,,,
"Congressional District 17 (116th Congress), Illinois",681131.0,Illinois,17,17,IL,9.1,1.32,0.18,11.72,75.36,0.02,0.1,2.2,16.66
"Congressional District 3 (116th Congress), Illinois",716449.0,Illinois,03,17,IL,32.58,4.45,0.07,4.96,56.76,0.01,0.1,1.07,10.15
"Congressional District 4 (116th Congress), Illinois",692435.0,Illinois,04,17,IL,68.95,3.66,0.06,3.47,22.49,0.02,0.21,1.16,16.15
"Congressional District 11 (116th Congress), Illinois",723342.0,Illinois,11,17,IL,27.86,7.94,0.1,10.9,50.87,0.02,0.13,2.18,8.93
"Congressional District 15 (116th Congress), Illinois",691765.0,Illinois,15,17,IL,2.87,0.67,0.19,4.41,90.47,0.03,0.03,1.33,13.45
"Congressional District 8 (116th Congress), Illinois",711775.0,Illinois,08,17,IL,28.77,13.25,0.12,4.94,50.64,0.07,0.23,1.97,8.88
"Congressional District 2 (116th Congress), Indiana",724054.0,Indiana,02,18,IN,9.8,1.33,0.26,6.82,79.3,0.05,0.19,2.24,13.64
"Congressional District 6 (116th Congress), Indiana",719099.0,Indiana,06,18,IN,2.84,1.58,0.14,2.6,91.01,0.02,0.19,1.62,13.86
"Congressional District 1 (116th Congress), Indiana",714677.0,Indiana,01,18,IN,15.67,1.32,0.19,18.23,62.57,0.03,0.14,1.84,14.38
"Congressional District 3 (116th Congress), Indiana",743000.0,Indiana,03,18,IN,6.2,2.24,0.16,5.98,83.01,0.03,0.11,2.27,11.76
"Congressional District 4 (116th Congress), Indiana",756185.0,Indiana,04,18,IN,6.15,3.1,0.21,3.98,84.7,0.02,0.15,1.68,11.98
"Congressional District 1 (116th Congress), Iowa",772352.0,Iowa,01,19,IA,4.12,1.62,0.35,4.05,87.8,0.17,0.16,1.75,11.2
"Congressional District 4 (116th Congress), Iowa",755085.0,Iowa,04,19,IA,7.11,2.2,0.43,1.65,87.07,0.13,0.03,1.37,11.84
"Congressional District 3 (116th Congress), Iowa",831497.0,Iowa,03,19,IA,6.96,3.32,0.2,4.28,83.04,0.07,0.04,2.09,9.75
"Congressional District 3 (116th Congress), Kansas",768619.0,Kansas,03,20,KS,12.14,4.87,0.23,8.21,71.76,0.07,0.09,2.63,8.31
"Congressional District 4 (116th Congress), Kansas",723478.0,Kansas,04,20,KS,12.53,3.31,0.68,6.6,73.39,0.04,0.09,3.36,13.03
"Congressional District 2 (116th Congress), Kentucky",758608.0,Kentucky,02,21,KY,3.49,1.5,0.26,5.36,86.84,0.11,0.14,2.29,15.32
"Congressional District 1 (116th Congress), Kentucky",718563.0,Kentucky,01,21,KY,3.19,0.63,0.22,6.82,87.15,0.08,0.09,1.8,18.49
"Congressional District 3 (116th Congress), Kentucky",744534.0,Kentucky,03,21,KY,5.56,2.81,0.15,21.92,66.88,0.05,0.25,2.38,14.61
"Congressional District 4 (116th Congress), Kentucky",758440.0,Kentucky,04,21,KY,3.38,1.25,0.1,3.39,89.81,0.03,0.08,1.97,12.29
"Congressional District 2 (116th Congress), Louisiana",790750.0,Louisiana,02,22,LA,6.45,2.52,0.21,61.17,27.88,0.0,0.27,1.5,24.0
